"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin percentatge de places es pot reservar a la promoció interna d’inspector o inspectora?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Fins a un 40 %.</div><div style=""padding: 5px 0;""><b>B)</b> Fins a un 25 %.</div><div style=""padding: 5px 0;""><b>C)</b> Fins a un 80 %.</div><div style=""padding: 5px 0;""><b>D)</b> Fins a un 65 %.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Fins a un 65 %.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La reserva prevista per a promoció interna d’inspector o inspectora pot arribar al 65 %.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18779"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina diferència hi ha entre una prestació personal i una requisa ordenades durant una emergència?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La prestació personal és obligatòria i no dona lloc a indemnització per aquesta causa, mentre que la requisa o ocupació temporal pot generar indemnització pels danys i perjudicis.</div><div style=""padding: 5px 0;""><b>B)</b> La prestació personal afecta la disponibilitat de persones, mentre que la requisa queda reservada als béns de titularitat pública.</div><div style=""padding: 5px 0;""><b>C)</b> La prestació personal i la requisa poden ser obligatòries i tenen el mateix règim d’indemnització.</div><div style=""padding: 5px 0;""><b>D)</b> La prestació personal és obligatòria i indemnitzada, mentre que la requisa no dona dret a compensació pels danys.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La prestació personal és obligatòria i no dona lloc a indemnització per aquesta causa, mentre que la requisa o ocupació temporal pot generar indemnització pels danys i perjudicis.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les prestacions personals obligatòries no generen indemnització per aquesta causa; les requises o ocupacions temporals poden donar lloc a indemnització pels danys i perjudicis causats.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18827"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina titulació s’exigeix per a la categoria d’inspector o inspectora?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Una titulació de grau superior de formació professional.</div><div style=""padding: 5px 0;""><b>B)</b> Una titulació de batxillerat complementada amb pràctiques selectives.</div><div style=""padding: 5px 0;""><b>C)</b> Una titulació de batxillerat o grau mitjà.</div><div style=""padding: 5px 0;""><b>D)</b> Una titulació de grau universitari.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Una titulació de grau universitari.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La categoria d’inspector o inspectora s’associa a titulació universitària.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18777"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina conducta constitueix una infracció molt greu en matèria d’autoprotecció?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> No acudir a una ordre de mobilització prevista en un pla.</div><div style=""padding: 5px 0;""><b>B)</b> No seguir les instruccions establertes durant un simulacre.</div><div style=""padding: 5px 0;""><b>C)</b> No adoptar els plans d’autoprotecció o no sotmetre’ls a aprovació ni homologació.</div><div style=""padding: 5px 0;""><b>D)</b> No respectar les instruccions de les autoritats durant una emergència.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) No adoptar els plans d’autoprotecció o no sotmetre’ls a aprovació ni homologació.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La manca d’adopció o de tramitació exigible dels plans d’autoprotecció està tipificada com a infracció molt greu.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18877"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina funció correspon a l’escala executiva del Cos de Bombers?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Les funcions operatives en prevenció, extinció d’incendis i salvaments.</div><div style=""padding: 5px 0;""><b>B)</b> La coordinació i comandament d’unitats tècniques i operatives.</div><div style=""padding: 5px 0;""><b>C)</b> El suport sanitari en emergències com a funció principal d’escala.</div><div style=""padding: 5px 0;""><b>D)</b> La direcció, coordinació i orientació d’unitats tècniques i operatives.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) La coordinació i comandament d’unitats tècniques i operatives.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’escala executiva se situa en la coordinació i el comandament de les unitats tècniques i operatives.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18758"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin curs imparteix l’ISPC per a l’ingrés al Cos de Bombers de la Generalitat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El curs de coordinació destinat a les àrees regionals.</div><div style=""padding: 5px 0;""><b>B)</b> El curs selectiu per a l’ingrés al Cos.</div><div style=""padding: 5px 0;""><b>C)</b> El curs d’habilitació per a l’exercici de bomber d’empresa.</div><div style=""padding: 5px 0;""><b>D)</b> El curs de perfeccionament destinat al voluntariat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) El curs selectiu per a l’ingrés al Cos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Entre les funcions de l’ISPC hi ha impartir el curs selectiu per a l’ingrés al Cos de Bombers de la Generalitat.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18805"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin tipus de tasques pot desenvolupar el personal en situació de segona activitat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Tasques operatives idèntiques a les de primera intervenció.</div><div style=""padding: 5px 0;""><b>B)</b> Tasques administratives fora del Cos com a destí ordinari.</div><div style=""padding: 5px 0;""><b>C)</b> Funcions de comandament superior amb independència de la categoria.</div><div style=""padding: 5px 0;""><b>D)</b> Tasques adequades a la seva situació, com ara funcions logístiques.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Tasques adequades a la seva situació, com ara funcions logístiques.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En segona activitat s’han de desenvolupar tasques adaptades a la nova situació, com les de caràcter logístic.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18793"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina característica defineix els plans especials de protecció civil?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Es generen per riscos concrets.</div><div style=""padding: 5px 0;""><b>B)</b> Es redacten per integrar tots els riscos d’un municipi.</div><div style=""padding: 5px 0;""><b>C)</b> S’elaboren per coordinar únicament serveis de titularitat municipal.</div><div style=""padding: 5px 0;""><b>D)</b> S’apliquen a qualsevol emergència sense distingir-ne la naturalesa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Es generen per riscos concrets.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els plans especials responen a riscos concrets i requereixen un tractament específic.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18842"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina cobertura asseguradora forma part dels drets dels membres del Cos de Bombers?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La cobertura del risc d’incapacitat temporal per qualsevol causa, encara que no tingui relació amb el servei.</div><div style=""padding: 5px 0;""><b>B)</b> La cobertura del risc de mort o d’invalidesa total o parcial per accident en l’exercici professional.</div><div style=""padding: 5px 0;""><b>C)</b> La cobertura del risc d’invalidesa parcial per causes no vinculades a l’exercici professional.</div><div style=""padding: 5px 0;""><b>D)</b> La cobertura del risc de mort o invalidesa per accident, limitada als supòsits produïts fora de servei.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) La cobertura del risc de mort o d’invalidesa total o parcial per accident en l’exercici professional.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Entre els drets del personal hi ha una assegurança que cobreix el risc de mort o d’invalidesa total o parcial per accident en l’exercici de la professió.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18786"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T03 - Llei bombers i protecció civil] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina funció del Cos de Bombers se centra en l’anàlisi posterior dels sinistres en què intervé?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Formar i informar la població per limitar les causes i conseqüències dels incendis.</div><div style=""padding: 5px 0;""><b>B)</b> Investigar-ne les causes, les conseqüències i els danys.</div><div style=""padding: 5px 0;""><b>C)</b> Estudiar i investigar tècniques, instal·lacions i sistemes de protecció contra incendis.</div><div style=""padding: 5px 0;""><b>D)</b> Fer activitats de prevenció per evitar o disminuir el risc d’incendis i accidents.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Investigar-ne les causes, les conseqüències i els danys.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Entre les funcions del Cos hi ha investigar les causes, les conseqüències i els danys dels sinistres en què ha intervingut.</div></div>","T03_-_Llei_bombers_i_proteccio_civil","18752"
